"PostCode","shortPostcode","Year","Town","District","County","Population2019","Population2020","Population2021","Population2022"
"LS25 6AA","LS25","2019","LEEDS","SELBY","NORTH YORKSHIRE",42165.2218784662,42401.8764591282,42639.8592763807,42879.1777850233
"LA6 3EH","LA6","2019","CARNFORTH","CRAVEN","NORTH YORKSHIRE",13210.3681341809,13284.5120374241,13359.0720773209,13434.0505894607
"HG3 3LA","HG3","2019","HARROGATE","HARROGATE","NORTH YORKSHIRE",27886.9117817348,28043.4285773225,28200.8238318624,28359.1024757525
"YO51 9GY","YO51","2019","YORK","HARROGATE","NORTH YORKSHIRE",5844.63192758859,5877.43523933052,5910.42266142783,5943.59522720981
"LS17 0EG","LS17","2019","LEEDS","HARROGATE","NORTH YORKSHIRE",45871.8572361218,46129.3155075306,46388.2187773658,46648.5751557587
"LS25 5AP","LS25","2019","LEEDS","SELBY","NORTH YORKSHIRE",42165.2218784662,42401.8764591282,42639.8592763807,42879.1777850233
"DL11 7LA","DL11","2019","RICHMOND","RICHMONDSHIRE","NORTH YORKSHIRE",5606.95938399426,5638.42874577379,5670.07473104264,5701.89833110964
"YO62 5FE","YO62","2019","YORK","RYEDALE","NORTH YORKSHIRE",12739.2483366561,12810.7480546405,12882.6490686462,12954.9536309688
"YO18 7LT","YO18","2019","PICKERING","RYEDALE","NORTH YORKSHIRE",11366.0291958889,11429.8216474239,11493.9721375318,11558.4826757234
"TS9 6SF","TS9","2019","MIDDLESBROUGH","HAMBLETON","NORTH YORKSHIRE",13454.3786122711,13529.8920374757,13605.8292858497,13682.1927361235
"HG3 2GP","HG3","2019","HARROGATE","HARROGATE","NORTH YORKSHIRE",27886.9117817348,28043.4285773225,28200.8238318624,28359.1024757525
"BD22 0BS","BD22","2019","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",31530.1677944319,31707.1325607765,31885.0905514114,32064.0473408613
"DL8 4NF","DL8","2019","LEYBURN","RICHMONDSHIRE","NORTH YORKSHIRE",19700.4130579301,19810.9826881464,19922.1728963725,20033.9871656358
"YO7 1TL","YO7","2019","THIRSK","HAMBLETON","NORTH YORKSHIRE",21123.2793522481,21241.8348962394,21361.0558396118,21480.9459169554
"YO51 9AH","YO51","2019","YORK","HARROGATE","NORTH YORKSHIRE",5844.63192758859,5877.43523933052,5910.42266142783,5943.59522720981
"HG3 1EP","HG3","2019","HARROGATE","HARROGATE","NORTH YORKSHIRE",27886.9117817348,28043.4285773225,28200.8238318624,28359.1024757525
"BD23 5RZ","BD23","2019","SKIPTON","CRAVEN","NORTH YORKSHIRE",30980.880138125,31154.7619978899,31329.6197789656,31505.4589587631
"YO61 3GP","YO61","2019","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"YO61 3LF","YO61","2019","YORK","HAMBLETON","NORTH YORKSHIRE",14792.7391133111,14875.7641589706,14959.2551871743,15043.2148132742
"BD20 7RU","BD20","2019","KEIGHLEY","CRAVEN","NORTH YORKSHIRE",37304.0261201502,37513.3969775813,37723.9429402356,37935.6706034546
"YO62 7RE","YO62","2019","YORK","RYEDALE","NORTH YORKSHIRE",12739.2483366561,12810.7480546405,12882.6490686462,12954.9536309688
